code,trench,lat_proj,province,sim_prov,plate,geol_prov,anions,cations,temp,do,spc,ph,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,co2,s,he,h2,o2,ar,n2,ch4,co,co2_d13,rc_ra,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
BQ,159.4878929,9.49071567,Arc,Arc,smooth,4,NA,g1,88.9,9.9,4980,2.11,NA,NA,NA,NA,0.1032674,-18.8836536,0.0886797,-21.8247928,936.6,23.4,0.00296,10.07867,1.04339,0.89665,26.84695,1.19421,0,-1.37,5.131184265,10.7,4.7,15.4,117.9,NA,NA,NA,NA,NA,NA,52,1.276284248,85.68977593,109.4944504,5.983646222,0.02221403689,9.664458152,0.00584378575,0.01180767117,3.125012427,0,0.3507653521,18.71752664,0,0.0218433871,0.002755263158,0.002401428571,0.7326534783,4.763220556,0.1920961637,2.227184362,3.921886284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BQ,159.4878929,9.49071567,Arc,Arc,smooth,4,NA,g1,88.9,9.9,4980,2.11,NA,NA,NA,NA,0.1032674,-18.8836536,0.0886797,-21.8247928,936.6,23.4,0.00296,10.07867,1.04339,0.89665,26.84695,1.19421,0,-1.37,5.131184265,10.7,4.7,15.4,117.9,NA,NA,NA,NA,NA,NA,52,1.276284248,85.68977593,109.4944504,5.983646222,0.02221403689,9.664458152,0.00584378575,0.01180767117,3.125012427,0,0.3507653521,18.71752664,0,0.0218433871,0.002755263158,0.002401428571,0.7326534783,4.763220556,0.1920961637,2.227184362,3.921886284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BQ,159.4878929,9.49071567,Arc,Arc,smooth,4,NA,g1,88.9,9.9,4980,2.11,NA,NA,NA,NA,0.1032674,-18.8836536,0.0886797,-21.8247928,936.6,23.4,0.00296,10.07867,1.04339,0.89665,26.84695,1.19421,0,-1.37,5.131184265,10.7,4.7,15.4,117.9,NA,NA,NA,NA,NA,NA,52,1.276284248,85.68977593,109.4944504,5.983646222,0.02221403689,9.664458152,0.00584378575,0.01180767117,3.125012427,0,0.3507653521,18.71752664,0,0.0218433871,0.002755263158,0.002401428571,0.7326534783,4.763220556,0.1920961637,2.227184362,3.921886284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR1,173.6942085,9.460558159,Arc,Arc,smooth,4,gw,g2,59,41,5995,6.16,9.56,0.23,0.8,-11.16,1.646881,-25.7456328,0.5746944,-14.7835752,946.9,0,0.00748,0.00046,2.5919,1.28277,47.54107,1.71451,0,-3.66,6.524674796,60.3,16,76.3,146.8,2.41,1.31,39.74,0,0,0,0.6796165463,0.4554397685,41.29364408,10.15977247,9.306990517,0.09124381798,0.3355623507,0.002906261886,0.005796074991,0.02465552312,0.020541578947368,29.0267707,4.230057232,0.01753425,0,0.001300210526,0.03108857143,9.281077826,0,3.034424552,11.56015267,5.854645387,39.228,1.6,1.3,3286.5,403.7,1.6,11,15.7,0.075,0.12
BR1,173.6942085,9.460558159,Arc,Arc,smooth,4,gw,g2,59,41,5995,6.16,9.56,0.23,0.8,-11.16,1.646881,-25.7456328,0.5746944,-14.7835752,946.9,0,0.00748,0.00046,2.5919,1.28277,47.54107,1.71451,0,-3.66,6.524674796,60.3,16,76.3,146.8,2.41,1.31,39.74,0,0,0,0.6796165463,0.4554397685,41.29364408,10.15977247,9.306990517,0.09124381798,0.3355623507,0.002906261886,0.005796074991,0.02465552312,0.020541578947368,29.0267707,4.230057232,0.01753425,0,0.001300210526,0.03108857143,9.281077826,0,3.034424552,11.56015267,5.854645387,39.228,1.6,1.3,3286.5,403.7,1.6,11,15.7,0.075,0.12
BR2,173.6835212,9.460646662,Arc,Arc,smooth,4,gw,g2,53.8,7,5755,5.87,9.31,0.96,0.89,-10.75,1.2419807,-28.3057564,2.2865734,-24.4030145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,5.6,13.8,168.7,15.69,NA,14.29,2.884513778,0,2.884513778,0.6690971106,0.4649618113,39.05607182,12.06780678,8.893085926,0.08265877435,0.2234029671,0.002177091092,0.005455381613,0.01743926757,0,16.75222,3.716773049,0.009033625,0,0.001540315789,0.01865142857,5.524147391,0.0001266666667,1.746733248,6.754381481,5.449088529,46.7,2.4,0.9,833.5,403.2,2.1,14.1,7,0.199,0.15
BR1,173.6942085,9.460558159,Arc,Arc,smooth,4,gw,g2,59,41,5995,6.16,9.56,0.23,0.8,-11.16,1.646881,-25.7456328,0.5746944,-14.7835752,946.9,0,0.00748,0.00046,2.5919,1.28277,47.54107,1.71451,0,-3.66,6.524674796,60.3,16,76.3,146.8,2.41,1.31,39.74,0,0,0,0.6796165463,0.4554397685,41.29364408,10.15977247,9.306990517,0.09124381798,0.3355623507,0.002906261886,0.005796074991,0.02465552312,0.020541578947368,29.0267707,4.230057232,0.01753425,0,0.001300210526,0.03108857143,9.281077826,0,3.034424552,11.56015267,5.854645387,39.228,1.6,1.3,3286.5,403.7,1.6,11,15.7,0.075,0.12
BR2,173.6835212,9.460646662,Arc,Arc,smooth,4,gw,g2,53.8,7,5755,5.87,9.31,0.96,0.89,-10.75,1.2419807,-28.3057564,2.2865734,-24.4030145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,5.6,13.8,168.7,15.69,NA,14.29,2.884513778,0,2.884513778,0.6690971106,0.4649618113,39.05607182,12.06780678,8.893085926,0.08265877435,0.2234029671,0.002177091092,0.005455381613,0.01743926757,0,16.75222,3.716773049,0.009033625,0,0.001540315789,0.01865142857,5.524147391,0.0001266666667,1.746733248,6.754381481,5.449088529,46.7,2.4,0.9,833.5,403.2,2.1,14.1,7,0.199,0.15
CY,140.9071216,9.121202033,Forearc,Forearc,smooth,3,gw,g3,72,26.7,5821,6.31,5.24,-4.99,1.82,-7.78,0.2467956,-23.2067987,9.2372675,3.4653422,994.9,0,0,0.00139,1.11783,0.08422,3.90521,0.0018,0,-2.4,0.594258722,6.5,5.1,11.6,64.4,3.56,1.91,3.8,0,0,0,1.584266567,0.4823738713,3.932629565,6.642227237,5.910537378,0.1740889645,0.2726497554,0.002343758639,0.0104913935,0.0523178735,0.153907368421053,15.43938394,4.418429969,0.005762,0.03620548387,0.00181,0.1397042857,18.30385261,0.09306666667,0.8131575448,0.9733975309,3.413439152,23.35,45.9,10.7,1167.5,66.2,17.3,55.9,97.9,0.218,1.17
CY,140.9071216,9.121202033,Forearc,Forearc,smooth,3,gw,g3,72,26.7,5821,6.31,5.24,-4.99,1.82,-7.78,0.2467956,-23.2067987,9.2372675,3.4653422,994.9,0,0,0.00139,1.11783,0.08422,3.90521,0.0018,0,-2.4,0.594258722,6.5,5.1,11.6,64.4,3.56,1.91,3.8,0,0,0,1.584266567,0.4823738713,3.932629565,6.642227237,5.910537378,0.1740889645,0.2726497554,0.002343758639,0.0104913935,0.0523178735,0.153907368421053,15.43938394,4.418429969,0.005762,0.03620548387,0.00181,0.1397042857,18.30385261,0.09306666667,0.8131575448,0.9733975309,3.413439152,23.35,45.9,10.7,1167.5,66.2,17.3,55.9,97.9,0.218,1.17
EP,74.29195557,9.287061523,Outer Forearc,Forearc,smooth,1,iw,g2,26.4,4,198.2,9.99,0.55,-21.57,0.22,-25.48,3.1,-27.89,1.4,-26.74,0,0,0,0.08637,29.17423,24.56759,942.35128,3.82052,0,NA,NA,0.025,0.2,3.8,4.69,0.8943001807,0.18156,0.6567201204,12.38269197,0.5271898232,0.2223330844,0.7714089387,0.1222138885,0.0319198432,0.07786737175,0.0002395835978,0.007667604737,0.03247313786,0.005211578947368,0.2339501408,0.03004984391,0,0.04682032258,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.4939938272,0.4751009975,NA,70.1,229.9,1665.1,122.2,118.1,159.9,144.4,0.292,0.98,,,
EP,74.29195557,9.287061523,Outer Forearc,Forearc,smooth,1,iw,g2,26.4,4,198.2,9.99,0.55,-21.57,0.22,-25.48,3.1,-27.89,1.4,-26.74,0,0,0,0.08637,29.17423,24.56759,942.35128,3.82052,0,NA,NA,0.025,0.2,3.8,4.69,0.8943001807,0.18156,0.6567201204,12.38269197,0.5271898232,0.2223330844,0.7714089387,0.1222138885,0.0319198432,0.07786737175,0.0002395835978,0.007667604737,0.03247313786,0.005211578947368,0.2339501408,0.03004984391,0,0.04682032258,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.4939938272,0.4751009975,NA,70.1,229.9,1665.1,122.2,118.1,159.9,144.4,0.292,0.98,,,
ES1,74.08223781,9.285917438,Outer Forearc,Forearc,smooth,1,iw,g3,27.9,48.3,226.7,9.75,1.14,-17.98,1.57,-24.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.962744255,0.506125822,0.03944191919,0.686488501,0.07543438077,0.01844597423,0.06472062397,0.0001562500553,0.006330455833,0.02645958764,0.011016842105263,1.06332,0.1559355879,0.00053175,0.08072983871,0.0007451578947,0.0002214285714,2.292455652,0.5920227778,0.1396800512,0.03817489712,0.3075261845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
