campaign,rowname,name,biosample,site_id,database,study_group,latitude,longitude,sample_name,Read_count_post_fastp,sequencing_technology,sample_type,cc_score,location1,location2,location3,location4,site_name,geotype1,geotype2,geotype3,tectonics1,tectonics2,tectonics3,tectonics4,magma_fo2,aersub1,aersub2,macrostrat_ID,macrostrat,macrostrat_type,macrostrat_siplified_type,mindat_id,locality_name,mindat_lat,mindat_long,distance_to_mindat_km,mineral_list_csv,Altitude,Temp,Salinity,pH,eh,toc,tn,dic,doc,ch4,h2,o2,rc_ra,f_aq,cl_aq,so4,h2s,br_aq,no_3,no2,nh4,po4_3,Na_aq,K_aq,Mg_aq,Ca_aq,Si_aq,Li_aq,Be_aq,B_aq,Al_aq,P_aq,Ti_aq,V_aq,Cr_aq,Mn_aq,Fe_aq,Co_aq,Ni_aq,Cu_aq,Zn_aq,Ga_aq,As_aq,Se_aq,Rb_aq,Sr_aq,Zr_aq,Nb_aq,Mo_aq,Pd_aq,Ag_aq,Cd_aq,Sn_aq,Sb_aq,Cs_aq,Ba_aq,La_aq,Ce_aq,Pr_aq,Nd_aq,W_aq,Tl_aq,Pb_aq,Yh_aq,U_aq,cd,cu,co,fe,mn,mo,ni,v,zn,ag,al,ba,be,ce,cr,cs,ga,eu,gd,hf,la,li,pb,rb,sc,sn,sr,th,ti,tl,u,w,y,zr,database_solid,database_soli_id,material,rock_type,sample_name.1,lat_d,long_d,major_sum,sio2_d,tio2_d,al2o3_d,fe2o3_d,feo_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,bao_d,p2o5_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,hr_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sn_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,si_o2,ti_o2,al2_o3,fe_ot,fe_o,fe2_o3,mn_o,mg_o,ca_o,na2_o,k2_o,p2_o5,DPM,SfA,CT,SedThic_Oc,SedThic_On,DistCoast,ConShelf,Time_rift,DSub,DMOR,DOT,DHS,DV,DMUSGS,DEQ,HF,PV,elv,SR,slab_name,DCS,SDepth,SDip,ConvR,ConvObl,ConvAge,Water_type,iron_proteins
ARG19,AO100224_S,AO100224_S,ARG19AOS,AO,private,57,-24.182136,-66.674029,AO,5779408,Illumina,sediment,NA,South_America,South_America,Argentina,Antuco,Antuco,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,206311,El Oculto Cu Deposit,-24.133333,-66.6,8.50828537,"Bornite,Chalcopyrite,Molybdenite,Pyrite,Turquoise",4231,27.8,21.21,6.25,NA,NA,NA,5.45,NA,0.117478,0.00,0.10,1.96,NA,9367548,817.08,0.012583013,8742,NA,NA,1.19E+01,NA,5900695.46,598365591,182368.90,261711408,42347.00,158512.04,NA,NA,NA,NA,NA,NA,80067,704.63,"4,132.92",3673,62.69,17649,NA,NA,8632973,NA,13882084,"10,291.25",NA,NA,2995,NA,NA,NA,NA,NA,"59,282.49",35925,NA,NA,NA,NA,1923,118027,10005,NA,3176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,T63,whole_rock,"IGNEOUS, VOLCANIC, DACITE",T63,-24.18,-66.55,100.00,70.72,0.51,15.26,NA,NA,2.05,0.05,0.9,2.43,3.3,4.53,NA,0.25,NA,2.9,NA,3,NA,NA,493,NA,86.8,5,NA,NA,1.11,NA,NA,NA,NA,41.4,NA,167,27,44.8,NA,NA,289,4.9,7.25,NA,351,3,0.62,17.4,NA,NA,12.2,NA,NA,1.48,154,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1862.321179,NA,58.62679255,NA,534893,384.961104,NA,NA,484.550439,2482.759235,2482.759235,1358.630319,24.59674866,118.0192646,10.78527645,88.95895112,1.627682438,4227.7023,NA,sam,4.308519572,-168.6828918,35.21544647,8.979917526,-17.4025135,69.13432312,,
ARG19,AO190224_F,AO190224_F,ARG19AOF,AO,private,57,-24.182136,-66.674029,AO,10325449,Illumina,fluid,NA,South_America,South_America,Argentina,Antuco,Antuco,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,55906,Salar De Antofalla,-25.715556,-67.710556,12.5837149,"Halite,Gypsum,Anhydrite",4231,27.8,21.21,6.25,NA,NA,NA,5.45,NA,0.117478,0.00,0.10,1.96,NA,9367548,817.08,0.012583013,8742,NA,NA,1.19E+01,NA,5900695.46,598365591,182368.90,261711408,42347.00,158512.04,NA,NA,NA,NA,NA,NA,80067,704.63,"4,132.92",3673,62.69,17649,NA,NA,8632973,NA,13882084,"10,291.25",NA,NA,2995,NA,NA,NA,NA,NA,"59,282.49",35925,NA,NA,NA,NA,1923,118027,10005,NA,3176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,T63,whole_rock,"IGNEOUS, VOLCANIC, DACITE",T63,-24.18,-66.55,100.00,70.72,0.51,15.26,NA,NA,2.05,0.05,0.9,2.43,3.3,4.53,NA,0.25,NA,2.9,NA,3,NA,NA,493,NA,86.8,5,NA,NA,1.11,NA,NA,NA,NA,41.4,NA,167,27,44.8,NA,NA,289,4.9,7.25,NA,351,3,0.62,17.4,NA,NA,12.2,NA,NA,1.48,154,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1856.098827,NA,65.94252069,NA,396442,267.1804881,NA,NA,378.0683094,2278.821289,2278.821289,1220.323407,59.7450142,150.6601453,68.04263564,137.7900501,1.574856821,3588.550645,NA,sam,4.672358006,-103.1349487,13.78567028,8.979917526,-17.4025135,69.13432312,,
ARG19,BJ190227_F,BJ190227_F,ARG19BJF,BJ,private,57,-25.743034,-67.823245,BJ,11176868,Illumina,fluid,NA,South_America,South_America,Argentina,Botijuela,Botijuela,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,55906,Salar De Antofalla,-25.715556,-67.710556,12.5837149,"Halite,Gypsum,Anhydrite",3524,40,8.65,6.44,NA,NA,NA,15.92,NA,0.358919,0.02,1.96,1.24,NA,1590755,826466,0.012583013,,NA,NA,6.41E-01,NA,1746057.44,83047812,25468.32,56106.49,12836.51,6786.21,NA,NA,NA,NA,NA,NA,12242,156.92,187.08,173,38.31,27845,NA,NA,221.55,NA,700879,"3,231.89",392,65,2831,NA,NA,NA,NA,NA,898.32,16706,NA,NA,NA,NA,86,4885,1187,NA,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,SRA10,whole_rock,"IGNEOUS, VOLCANIC, RHYOLITE",SRA10,-25.6161,-67.7086,96.40,73.3,95,12.76,0.69,NA,0.6208689,0.05,0.09,1.31,3.36,4.79,NA,0.02,2.8,0.4,NA,0.9,NA,34,563,NA,41,NA,2.1,1.1,0.57,17,2.4,NA,0.33,22,83,0.17,17,16,26,4.7,217,1.9,3,1.8,145,1.9,0.4,23,NA,NA,10.5,NA,11,1.1,76,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1856.098827,NA,65.94252069,NA,396442,267.1804881,NA,NA,378.0683094,2278.821289,2278.821289,1220.323407,59.7450142,150.6601453,68.04263564,137.7900501,1.574856821,3588.550645,NA,sam,4.672358006,-103.1349487,13.78567028,8.979917526,-17.4025135,69.13432312,,
ARG19,BJ190227_S,BJ190227_S,ARG19BJS,BJ,private,57,-25.743034,-67.823245,BJ,8409827,Illumina,sediment,NA,South_America,South_America,Argentina,Botijuela,Botijuela,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,206311,El Oculto Cu Deposit,-24.133333,-66.6,8.50828537,"Bornite,Chalcopyrite,Molybdenite,Pyrite,Turquoise",3524,40,8.65,6.44,NA,NA,NA,15.92,NA,0.358919,0.02,1.96,1.24,NA,1590755,826466,0.012583013,,NA,NA,6.41E-01,NA,1746057.44,83047812,25468.32,56106.49,12836.51,6786.21,NA,NA,NA,NA,NA,NA,12242,156.92,187.08,173,38.31,27845,NA,NA,221.55,NA,700879,"3,231.89",392,65,2831,NA,NA,NA,NA,NA,898.32,16706,NA,NA,NA,NA,86,4885,1187,NA,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,SRA10,whole_rock,"IGNEOUS, VOLCANIC, RHYOLITE",SRA10,-25.6161,-67.7086,96.40,73.3,95,12.76,0.69,NA,0.6208689,0.05,0.09,1.31,3.36,4.79,NA,0.02,2.8,0.4,NA,0.9,NA,34,563,NA,41,NA,2.1,1.1,0.57,17,2.4,NA,0.33,22,83,0.17,17,16,26,4.7,217,1.9,3,1.8,145,1.9,0.4,23,NA,NA,10.5,NA,11,1.1,76,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1862.321179,NA,58.62679255,NA,534893,384.961104,NA,NA,484.550439,2482.759235,2482.759235,1358.630319,24.59674866,118.0192646,10.78527645,88.95895112,1.627682438,4227.7023,NA,sam,4.308519572,-168.6828918,35.21544647,8.979917526,-17.4025135,69.13432312,,
ARG19,GA190226_F,GA190226_F,ARG19GAF,GA,private,57,-25.825416,-66.922496,GA,3219530,Illumina,fluid,NA,South_America,South_America,Argentina,Galán Aguas Calientes,Galán Aguas Calientes,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,240178,Cerro Ratones,-25.267222,-66.916667,24.3407417,"Gypsum,Pyrite,Chalcocite,Anhydrite",4482,67,3.28,6.7,NA,NA,NA,6.26,NA,0.001436,0.03,5.76,1.56,NA,647319,28548,0.016078294,1093,NA,NA,8.80E-02,NA,691962.18,11005614,1530.18,11108.11,41556.98,10123.57,NA,NA,NA,NA,NA,NA,4.2,101.46,48.48,NA,32.19,48611,NA,NA,3109417,NA,256498,425.14,NA,3.44,41653,NA,NA,NA,NA,NA,"2,957.13",NA,NA,NA,NA,NA,18876,1217,1.08,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,CG299,whole_rock,"IGNEOUS, VOLCANIC, DACITE",CG299,-25.67454,-66.85683,100.00,69.40413347,0.6428105337,15.07,NA,NA,3.16453575,0.05499382111,1.225201435,2.67002052,3.258153994,4.283969618,NA,0.2267498856,11.5,NA,NA,2.046212848,NA,NA,477.0897141,NA,101.7,17,3.979221696,1.708340797,1.289355654,22.2,5.760902938,NA,0.6914234284,50.2,NA,0.2155031236,19.37995407,41.44560015,7.9,11.60105213,265.7426717,6.8,7.823119924,NA,290.5804919,2.083027116,0.7818314937,30.51517457,NA,NA,11.4,NA,NA,1.433757404,NA,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1778.149964,NA,58.58422995,NA,434423,357.9243693,NA,NA,468.8439313,2305.424089,2305.424089,1309.852533,57.90190274,102.9399005,33.09653133,99.53536639,1.537606139,4523.11209,NA,sam,4.750460133,-137.9934082,30.09345055,8.979917526,-17.4025135,69.13432312,,
ARG19,GA190226_S,GA190226_S,ARG19GAS,GA,private,57,-25.825416,-66.922496,GA,9095895,Illumina,sediment,NA,South_America,South_America,Argentina,Galán Aguas Calientes,Galán Aguas Calientes,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,240178,Cerro Ratones,-25.267222,-66.916667,24.3407417,"Gypsum,Pyrite,Chalcocite,Anhydrite",4482,67,3.28,6.7,NA,NA,NA,6.26,NA,0.001436,0.03,5.76,1.56,NA,647319,28548,0.016078294,1093,NA,NA,8.80E-02,NA,691962.18,11005614,1530.18,11108.11,41556.98,10123.57,NA,NA,NA,NA,NA,NA,4.2,101.46,48.48,NA,32.19,48611,NA,NA,3109417,NA,256498,425.14,NA,3.44,41653,NA,NA,NA,NA,NA,"2,957.13",NA,NA,NA,NA,NA,18876,1217,1.08,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,CG299,whole_rock,"IGNEOUS, VOLCANIC, DACITE",CG299,-25.67454,-66.85683,100.00,69.40413347,0.6428105337,15.07,NA,NA,3.16453575,0.05499382111,1.225201435,2.67002052,3.258153994,4.283969618,NA,0.2267498856,11.5,NA,NA,2.046212848,NA,NA,477.0897141,NA,101.7,17,3.979221696,1.708340797,1.289355654,22.2,5.760902938,NA,0.6914234284,50.2,NA,0.2155031236,19.37995407,41.44560015,7.9,11.60105213,265.7426717,6.8,7.823119924,NA,290.5804919,2.083027116,0.7818314937,30.51517457,NA,NA,11.4,NA,NA,1.433757404,NA,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1778.149964,NA,58.58422995,NA,434423,357.9243693,NA,NA,468.8439313,2305.424089,2305.424089,1309.852533,57.90190274,102.9399005,33.09653133,99.53536639,1.537606139,4523.11209,NA,sam,4.750460133,-137.9934082,30.09345055,8.979917526,-17.4025135,69.13432312,,
ARG19,GF1902225_1_S,GF1902225_1_S,ARG19GF1S,GF1,private,57,-25.858188,-66.992695,GF1,7725999,Illumina,sediment,NA,South_America,South_America,Argentina,Galán Fumaroles (El Diablo),Galán Fumaroles (El Diablo),spring,hot_spring,fumarole,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,239876,Salar Del Hombre Muerto,-25.35,-67.049444,22.9434548,"Cristobalite,Colemanite,Chalcopyrite,Ulexite,Thenardite,Sillimanite,Rutile,Quartz,Pyrite,Opal,Mirabilite,Malachite,Magnetite,Lepidocrocite,Ilmenite,Hematite,Halite,Gypsum,Gold,Goethite,Glauberite,Chalcocite,Calcite,Borax,Arsenopyrite,Anhydrite",4644,80,0.19,7.75,NA,NA,NA,0.34,NA,0.001677,0.17,16.05,1.77,NA,14725,69616,0.009087732,NA,16.00,NA,2.07E+01,NA,25531.47,3328637,1314.73,2564.51,8808.58,329.39,NA,NA,112802,NA,NA,0.51,16558,68.54,548.87,971,14.80,17988,66063,NA,7547,NA,36495,50.89,54,279,867,NA,NA,NA,NA,NA,67.89,25412,1766,2066,NA,NA,1.51,586,1744,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,CG299,whole_rock,"IGNEOUS, VOLCANIC, DACITE",CG299,-25.67454,-66.85683,100.00,69.40413347,0.6428105337,15.07,NA,NA,3.16453575,0.05499382111,1.225201435,2.67002052,3.258153994,4.283969618,NA,0.2267498856,11.5,NA,NA,2.046212848,NA,NA,477.0897141,NA,101.7,17,3.979221696,1.708340797,1.289355654,22.2,5.760902938,NA,0.6914234284,50.2,NA,0.2155031236,19.37995407,41.44560015,7.9,11.60105213,265.7426717,6.8,7.823119924,NA,290.5804919,2.083027116,0.7818314937,30.51517457,NA,NA,11.4,NA,NA,1.433757404,NA,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1781.584577,NA,59.4534548,NA,428434,351.4305356,NA,NA,462.1486721,2299.269192,2299.269192,1302.586792,50.02052854,105.7205619,41.03963814,102.4962891,1.542411184,4595.965424,NA,sam,4.206350058,-132.4690399,28.19093132,8.979917526,-17.4025135,69.13432312,,
ARG19,GF190226_1_F,GF190226_1_F,ARG19GF1F,GF1,private,57,-25.858188,-66.992695,GF1,12997977,Illumina,fluid,NA,South_America,South_America,Argentina,Galán Fumaroles (El Diablo),Galán Fumaroles (El Diablo),spring,hot_spring,fumarole,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,239876,Salar Del Hombre Muerto,-25.35,-67.049444,22.9434548,"Cristobalite,Colemanite,Chalcopyrite,Ulexite,Thenardite,Sillimanite,Rutile,Quartz,Pyrite,Opal,Mirabilite,Malachite,Magnetite,Lepidocrocite,Ilmenite,Hematite,Halite,Gypsum,Gold,Goethite,Glauberite,Chalcocite,Calcite,Borax,Arsenopyrite,Anhydrite",4644,80,0.19,7.75,NA,NA,NA,0.34,NA,0.001677,0.17,16.05,1.77,NA,14725,69616,0.009087732,NA,16.00,NA,2.07E+01,NA,25531.47,3328637,1314.73,2564.51,8808.58,329.39,NA,NA,112802,NA,NA,0.51,16558,68.54,548.87,971,14.80,17988,66063,NA,7547,NA,36495,50.89,54,279,867,NA,NA,NA,NA,NA,67.89,25412,1766,2066,NA,NA,1.51,586,1744,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,CG299,whole_rock,"IGNEOUS, VOLCANIC, DACITE",CG299,-25.67454,-66.85683,100.00,69.40413347,0.6428105337,15.07,NA,NA,3.16453575,0.05499382111,1.225201435,2.67002052,3.258153994,4.283969618,NA,0.2267498856,11.5,NA,NA,2.046212848,NA,NA,477.0897141,NA,101.7,17,3.979221696,1.708340797,1.289355654,22.2,5.760902938,NA,0.6914234284,50.2,NA,0.2155031236,19.37995407,41.44560015,7.9,11.60105213,265.7426717,6.8,7.823119924,NA,290.5804919,2.083027116,0.7818314937,30.51517457,NA,NA,11.4,NA,NA,1.433757404,NA,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1781.584577,NA,59.4534548,NA,428434,351.4305356,NA,NA,462.1486721,2299.269192,2299.269192,1302.586792,50.02052854,105.7205619,41.03963814,102.4962891,1.542411184,4595.965424,NA,sam,4.206350058,-132.4690399,28.19093132,8.979917526,-17.4025135,69.13432312,,
ARG19,GF190226_2_F,GF190226_2_F,ARG19GF2F,GF2,private,57,-25.858243,-66.992818,GF2,14920350,Illumina,fluid,NA,South_America,South_America,Argentina,Galán Fumaroles (El Diablo),Galán Fumaroles (El Diablo),spring,hot_spring,fumarole,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,239876,Salar Del Hombre Muerto,-25.35,-67.049444,22.9449702,"Cristobalite,Colemanite,Chalcopyrite,Ulexite,Thenardite,Sillimanite,Rutile,Quartz,Pyrite,Opal,Mirabilite,Malachite,Magnetite,Lepidocrocite,Ilmenite,Hematite,Halite,Gypsum,Gold,Goethite,Glauberite,Chalcocite,Calcite,Borax,Arsenopyrite,Anhydrite",4651,80,1.02,3.21,NA,NA,NA,0.48,NA,0.005293,0.00,14.66,1.79,NA,50849,337.95,0.023068857,,125.00,NA,8.29E+01,NA,4636.50,9116034,4842.46,12557439,9552.96,0.00,NA,NA,3078234,NA,NA,183,1857,411.70,"17,347.20",12966,12.63,36543,86961,NA,8896,NA,69196,156.28,67,152,NA,NA,NA,NA,NA,NA,5.74,59223,2797,8194,1278,7053,668,118027,0.29,NA,3841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,CG299,whole_rock,"IGNEOUS, VOLCANIC, DACITE",CG299,-25.67454,-66.85683,100.00,69.40413347,0.6428105337,15.07,NA,NA,3.16453575,0.05499382111,1.225201435,2.67002052,3.258153994,4.283969618,NA,0.2267498856,11.5,NA,NA,2.046212848,NA,NA,477.0897141,NA,101.7,17,3.979221696,1.708340797,1.289355654,22.2,5.760902938,NA,0.6914234284,50.2,NA,0.2155031236,19.37995407,41.44560015,7.9,11.60105213,265.7426717,6.8,7.823119924,NA,290.5804919,2.083027116,0.7818314937,30.51517457,NA,NA,11.4,NA,NA,1.433757404,NA,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1781.578389,NA,59.45200327,NA,428443,351.4418764,NA,NA,462.1604019,2299.279704,2299.279704,1302.599474,50.03408631,105.7204989,41.02589874,102.4911334,1.542402956,4595.621894,NA,sam,4.208113253,-132.4690399,28.19093132,8.979917526,-17.4025135,69.13432312,,
ARG19,GF190226_2_S,GF190226_2_S,ARG19GF2S,GF2,private,57,-25.858243,-66.992818,GF2,11100384,Illumina,sediment,NA,South_America,South_America,Argentina,Galán Fumaroles (El Diablo),Galán Fumaroles (El Diablo),spring,hot_spring,fumarole,plate margin,convergent,oceanic-continental subduction,Backarc,oxidized,aerial,aerial,3186221,felsic,igneous,granite,239876,Salar Del Hombre Muerto,-25.35,-67.049444,22.9449702,"Cristobalite,Colemanite,Chalcopyrite,Ulexite,Thenardite,Sillimanite,Rutile,Quartz,Pyrite,Opal,Mirabilite,Malachite,Magnetite,Lepidocrocite,Ilmenite,Hematite,Halite,Gypsum,Gold,Goethite,Glauberite,Chalcocite,Calcite,Borax,Arsenopyrite,Anhydrite",4651,80,1.02,3.21,NA,NA,NA,0.48,NA,0.005293,0.00,14.66,1.79,NA,50849,337.95,0.023068857,,125.00,NA,8.29E+01,NA,4636.50,9116034,4842.46,12557439,9552.96,0.00,NA,NA,3078234,NA,NA,183,1857,411.70,"17,347.20",12966,12.63,36543,86961,NA,8896,NA,69196,156.28,67,152,NA,NA,NA,NA,NA,NA,5.74,59223,2797,8194,1278,7053,668,118027,0.29,NA,3841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EarthChem,CG299,whole_rock,"IGNEOUS, VOLCANIC, DACITE",CG299,-25.67454,-66.85683,100.00,69.40413347,0.6428105337,15.07,NA,NA,3.16453575,0.05499382111,1.225201435,2.67002052,3.258153994,4.283969618,NA,0.2267498856,11.5,NA,NA,2.046212848,NA,NA,477.0897141,NA,101.7,17,3.979221696,1.708340797,1.289355654,22.2,5.760902938,NA,0.6914234284,50.2,NA,0.2155031236,19.37995407,41.44560015,7.9,11.60105213,265.7426717,6.8,7.823119924,NA,290.5804919,2.083027116,0.7818314937,30.51517457,NA,NA,11.4,NA,NA,1.433757404,NA,71.0227778,0.305875,14405,1.08777778,1415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,1781.578389,NA,59.45200327,NA,428443,351.4418764,NA,NA,462.1604019,2299.279704,2299.279704,1302.599474,50.03408631,105.7204989,41.02589874,102.4911334,1.542402956,4595.621894,NA,sam,4.208113253,-132.4690399,28.19093132,8.979917526,-17.4025135,69.13432312,,
