EC,prt_read_lenght_av,CR18BCF,BQ170218F,BQ170218S,BQ170218,BR170218_2F,BR170218_1,BR170218_2S,CR18BSF,CR18CHF,CR18CHS,CR18CIF,CR18CIS,CR18CLF,CR18CVF,CR18CVS,CR18CWF,CR18CWS,CY170214F,CY170214S,CR18CZF,EP170215F,EP170215S,CR18ERF,CR18ERS,ET170220_2,FA170219_1,CR18GES,CR18HAF,CR18LBF,CR18LBS,CR18LEF,CR18LES,CR18LHF,CR18LHS,CR18LPF,CR18LWF,CR18LWS,CR18MCF,CR18MCS,MT170219,PF170222F,PF170222S,CR18PSS,CR18PXS,QH170213_2F,QH170213_2S,QH170213_1,QN170220F,QN170220S,CR18RCF,CR18RCS,CR18RRF,RS170216F,RS170216S,RV170221,CR18SCF,CR18SCS,SI170217F,SI170217S,SL170214,CR18XFF,CR18XFS,CR18YRF,ac190614f,ac190614s,bq190717,br1_190716f,br1_190716s,br2_190717f,br2_190717s,ep190616f,ep190616s,gu190718f,gu190718s,lp190617f,lw190703,sa190716,sg190719f,sg190719s,sl190717,AU200310F,AU200310S,BM200304F,BM200304S,CP200307F,CQ200302F,CR200310F,CT200308F,EM200307F,EM200307S,GS200305F,PM200308F,PM200308S,SP200306F,SP200306S,TF200303F,TF200303S,TP200304F,IN190223_S,PG290225_S,GF1902225_1_S,GF190226_2_S,LC190226_S,BJ190227_S,RF190301_S,PP190301_S,PM190223_S,TM190224_S,GA190226_S,AO100224_S,AO190224_F,BJ190227_F,GA190226_F,GF190226_1_F,GF190226_2_F,IN022319_F,LC190226_F,PG190225_F,PM190223_F,VV190228_F,GN_1_F,GN_1_S,GN_2_F,GN_2_S,HV_1_F,HV_1_S,HV_2_F,HV_2_S,KR_1_F,KR_1_S,KR_2_F,KR_2_S,CA211015F,CF210924F,CG211015F,CG211015S,FE211015F,FE211015S,GA211029F,GA211029S,LS211029F,LS211029S,ML210924F,PI210924F,PI210924S,SI1210715F,SI1210715S,SI2210715F,SI2210715S,SN211029F,SP210924F,SP210924S,VR211015S,SAMD00080625,SAMD00080626,SAMD00080627,SAMD00080628,SAMD00155365,SAMD00155369,SAMD00155372,SAMN02419148,SAMN02419149,SAMN02419150,SAMN02743532,SAMN02786246,SAMN03797534,SAMN03859986,SAMN04901559,SAMN04901560,SAMN05449938,SAMN05449939,SAMN05449940,SAMN05449941,SAMN05449942,SAMN05449943,SAMN05449944,SAMN05518182,SAMN05518196,SAMN05518655,SAMN06226860,SAMN06226864,SAMN06264664,SAMN06265911,SAMN06266020,SAMN06266162,SAMN06267026,SAMN06267027,SAMN06267028,SAMN06267029,SAMN06267030,SAMN06267031,SAMN06267032,SAMN06267033,SAMN06267034,SAMN06267142,SAMN06267143,SAMN06267144,SAMN06267145,SAMN06267146,SAMN06267147,SAMN06267148,SAMN06267149,SAMN06267238,SAMN06267239,SAMN06267240,SAMN06267294,SAMN06267626,SAMN06267627,SAMN06267628,SAMN06267762,SAMN06267763,SAMN06267764,SAMN06268369,SAMN06268446,SAMN06268447,SAMN06268448,SAMN06268588,SAMN06268589,SAMN06268698,SAMN06268699,SAMN06268700,SAMN06269058,SAMN06269059,SAMN06343747,SAMN06343748,SAMN06343749,SAMN06343750,SAMN06343751,SAMN06343752,SAMN06343753,SAMN06562581,SAMN06562582,SAMN06706385,SAMN06706403,SAMN06706421,SAMN07631022,SAMN07631024,SAMN07631051,SAMN08105287,SAMN08105301,SAMN08290428,SAMN08290429,SAMN08290430,SAMN08290431,SAMN08290432,SAMN08290433,SAMN08290434,SAMN08290435,SAMN08290436,SAMN08290437,SAMN08290438,SAMN08290439,SAMN08290440,SAMN08290441,SAMN08290442,SAMN08290443,SAMN08290444,SAMN08290445,SAMN10130912,SAMN10130913,SAMN10130914,SAMN10130915,SAMN10863906,SAMN10864101,SAMN10864102,SAMN10864405,SAMN10948629,SAMN14653521,SAMN14653523,SAMN14653524,SAMN14653525,SAMN14653526,SAMN14653527,SAMN14653528,SAMN14653529,SAMN14653530,SAMN14653531,SAMN14653532,SAMN14653533,SAMN14653534,SAMN14653535,SAMN14653536,SAMN14653539,SAMN14653541,SAMN14653542,SAMN14653543,SAMN14653544,SAMN14653545,SAMN14653546,SAMN14653547,SAMN14653548,SAMN14653549,SAMN14653552,SAMN14653553,SAMN14653554,SAMN14653555,SAMN14653556,SAMN14653557
1.1.1.1,374.5952381,1175,8191,8848,7199,4631,1511,1547,13016,1548,1085,16290,2086,8857,18402,1713,3738,867,1794,2987,30346,718,1659,3365,1464,1265,1671,5325,1627,1946,1588,5889,1410,15091,5196,7202,1505,839,4086,1749,2003,1951,608,1416,3898,669,312,1906,2559,1122,5191,3825,6165,1390,944,5663,1416,1312,602,1422,1691,16369,2135,5889,5,624,528,NA,305,NA,528,NA,498,672,64,1317,NA,46,683,717,91,562,738,166,531,55,125,374,71,567,266,1333,121,25,164,259,723,204,184,355,130,1677,6805,115,306,484,264,279,380,669,207,473,83,307,2265,3763,340,956,696,187,951,4206,NA,336,NA,3661,6421,380,950,465,1143,1440,465,33,269,195,119,552,1048,724,601,946,1378,625,683,1306,263,248,152,736,859,105,285,708,123,127,830,774,248,1038,4496,26,1051,2705,1139,2630,1200,3353,2432,3056,6036,4388,2229,NA,NA,NA,NA,200,131,1496,1180,346,1259,1524,2281,7428,9882,11674,686,3489,3693,4736,5562,6751,5929,162,1573,2192,50,21214,2173,63,6155,2589,1839,2649,5843,28517,69512,83722,3993,4434,2681,6533,8652,7673,12928,9159,5454,9925,1112,13515,NA,1,11604,8874,489,8979,1217,8381,14375,NA,1,2198,1872,483,7727,1814,6992,729,247,217,734,680,1927,2347,3024,2662,302,855,428,173,333,406,5969,6302,2073,2168,1759,2525,1582,3987,NA,21322,28219,26562,31710,2215,5469,5864,1024,1020,3428,1150,1343,2406,600,1335,586,971,1631,473,1318,1397,377,545,261,3590,2101,1967,1125,799,4804,1395,407,491,1088,1960,567
1.1.1.10,253,17,NA,NA,NA,6,9,41,103,39,24,43,54,33,88,40,15,19,19,58,51,21,45,111,38,22,79,129,27,24,49,42,49,165,92,208,1,41,48,27,31,43,16,40,54,4,4,7,73,22,5,70,117,31,30,11,27,9,8,46,40,72,58,137,NA,9,NA,NA,10,NA,10,NA,13,9,2,1,NA,1,1,17,NA,9,14,NA,14,2,1,9,NA,8,6,7,NA,NA,7,6,19,7,11,9,1,20,76,NA,47,5,7,NA,NA,2,5,NA,3,6,9,73,NA,2,1,3,16,23,NA,NA,NA,NA,NA,3,9,9,6,NA,NA,NA,NA,NA,1,6,21,8,13,20,27,4,8,10,1,2,2,21,5,1,6,1,1,3,19,14,1,21,4,NA,11,15,12,NA,14,196,NA,NA,96,15,47,NA,NA,NA,NA,1,NA,1,4,12,21,174,8,73,NA,1,2,2,NA,7,NA,NA,NA,1,NA,NA,NA,10,1,2,1,82,35,93,357,NA,NA,NA,1,NA,8,94,1,NA,NA,NA,NA,40,1,35,NA,NA,13,12,9,7,NA,8,2,NA,NA,75,45,10,288,46,137,4,NA,1,28,5,2,37,45,33,7,6,5,NA,6,4,105,91,38,29,28,93,43,38,NA,350,350,524,319,34,NA,2,4,8,5,13,12,49,20,40,13,15,30,16,68,24,3,3,4,8,55,40,24,25,9,28,1,5,39,44,7
1.1.1.100,696.4561404,6054,4291,5304,3802,10787,11054,13673,26515,9391,7281,31385,9782,36094,36659,8062,14435,6584,7137,19646,56529,5842,11346,14577,9428,7618,15250,21942,11294,9748,7769,21384,9735,29277,20076,18239,15152,7184,22006,9637,10548,11360,4895,7742,18553,12176,4869,15893,14503,6877,24103,14341,24009,8248,5786,11093,9473,6163,13491,12233,8277,36231,9236,25476,14,3176,695,NA,2834,NA,3286,NA,4284,3893,1201,240,NA,133,2345,3883,807,2318,3505,818,2105,529,3818,1731,961,3216,1583,5450,4036,285,1097,1846,3688,1394,967,4062,1808,3341,1664,297,2645,2673,2764,3059,1494,4064,1064,2062,5086,1113,4002,3958,2161,3286,2810,3134,5141,10118,NA,372,NA,1109,1626,593,3320,802,1189,821,439,4428,5759,4849,4945,2677,4800,4911,3164,5682,7127,3439,2046,3617,2974,2575,2919,5297,5617,3200,4297,5235,879,1127,5940,7166,17250,1633,6483,1267,44606,44196,28290,26775,1044,34079,1266,1023,11752,11378,7816,NA,NA,NA,NA,5026,7067,3947,31133,4437,18416,15926,12073,34439,9550,9739,1626,9499,10296,20337,17821,12200,11570,219,839,1729,44,16344,1460,139,5143,14935,12163,21796,33857,13571,33834,41354,11733,10766,13426,43882,4887,4481,6130,5182,3758,28332,48034,39404,235,1280,8593,6076,676,7522,1223,7067,8228,1,141,17890,17324,3014,44053,30618,48547,4400,2360,2778,4915,1794,12638,11165,13343,11961,1599,4262,4630,2981,3932,4470,19136,22467,17965,17280,13824,27543,18991,26791,NA,73629,78426,69414,84763,14596,3064,3868,6753,8144,8523,7824,5857,16137,4904,9507,8719,5854,9541,4154,12539,7811,5900,10281,4274,28874,12080,12076,6783,4983,9983,6694,2111,11532,9093,8131,4254
1.1.1.103,339.75,1660,30,669,36,1607,1962,3418,4539,1516,1672,1499,2589,2893,3021,1406,3298,1957,2239,3406,6249,1413,2392,2284,1603,1029,3255,4034,1798,2043,2305,3389,1121,5361,4963,5016,2453,2214,3503,2736,2332,2844,1297,2598,4466,676,1412,9195,2250,1459,15302,1953,1818,1613,1439,447,2179,3614,429,4192,1236,3649,1594,4792,11,901,5,NA,722,NA,410,NA,837,689,431,9,NA,10,251,732,536,368,599,176,523,72,13,242,134,494,289,411,42,34,282,419,339,368,166,1243,662,1573,26,148,362,1078,632,606,462,1715,379,518,136,329,20,23,80,2053,628,355,1050,12,NA,68,NA,735,18,85,410,227,168,121,48,116,182,162,319,513,626,1112,962,1765,1395,296,166,411,265,750,406,932,856,197,420,870,244,245,1658,1868,1,8,123,110,2741,5460,61,967,718,6780,906,1219,4184,592,1922,NA,NA,NA,NA,1346,437,1630,5321,403,2674,6863,7442,5017,3933,4048,51,14903,15175,8939,5585,3433,2902,12,54,203,4,3263,29,14,778,1928,1667,2334,25792,NA,1,NA,5538,4789,5375,25414,372,112,12,475,843,12350,14642,16854,NA,117,1146,356,316,7565,231,3024,35,NA,NA,1988,1214,310,11719,10765,28568,1076,154,927,1349,874,4668,5564,6036,5497,670,1020,1024,504,763,886,3859,4500,4971,4995,3957,2329,1934,3264,NA,7349,9912,8041,9934,1625,38,510,1016,1354,1211,1269,1692,2775,1116,1929,532,788,2354,1117,2573,1611,691,565,1195,16490,1872,2533,1344,1234,390,991,975,356,3007,1561,931
1.1.1.107,248,52,144,136,209,42,104,150,101,130,94,59,84,142,110,98,322,104,47,204,105,53,116,204,105,126,116,353,82,220,114,96,111,207,151,253,40,88,105,49,51,99,36,81,155,7,14,10,153,49,25,344,291,127,70,32,45,35,28,215,83,341,112,254,NA,31,10,NA,27,NA,24,NA,73,14,3,2,NA,7,2,43,2,37,38,8,30,NA,5,14,10,27,16,19,NA,4,6,8,14,13,6,10,8,31,NA,2,13,21,12,7,3,9,9,9,NA,12,NA,1,3,NA,7,5,60,7,NA,NA,NA,1,1,4,29,2,2,3,1,6,2,1,NA,31,52,20,37,37,79,10,12,16,12,11,3,44,17,3,25,28,4,5,43,24,NA,2,2,6,99,180,24,58,NA,101,NA,NA,98,32,64,NA,NA,NA,NA,NA,NA,NA,NA,20,103,165,45,151,7,14,NA,66,71,9,2,108,100,NA,10,NA,6,321,13,4,88,123,116,175,160,NA,NA,NA,97,20,14,233,7,NA,3,1,1,51,NA,5,NA,NA,122,44,14,253,20,164,90,NA,NA,106,111,11,289,74,344,10,1,1,16,11,5,103,104,78,12,31,11,8,8,18,237,297,83,102,55,214,67,89,NA,1894,1577,2131,1951,91,117,117,27,86,29,51,35,166,40,98,53,90,83,29,80,35,16,6,13,20,123,77,112,60,27,68,8,19,162,75,34
1.1.1.117,346.5,15,251,424,206,1,2,NA,1,2,4,1,NA,9,23,NA,NA,2,11,3,9,NA,NA,4,NA,NA,1,7,1,9,13,13,5,3,6,14,NA,NA,1,1,NA,3,2,6,1,NA,NA,NA,7,5,NA,2,31,NA,3,3,6,10,1,1,4,17,4,12,NA,NA,12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,65,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,3281,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,811,949,NA,10,NA,NA,1,NA,NA,54,NA,276,2007,46,6,275,923,751,242,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,223,NA,NA,NA,25,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18,NA,NA,NA,1,NA,49,39,NA,807,554,4,5535,143,3,1476,NA,3,1,23,NA,NA,NA,56,20,12,10,NA,NA,NA,NA,1,87,NA,NA,NA,NA,3484,2138,138,2993,354,2877,1118,NA,NA,NA,NA,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,4,1,1,3,2,NA,NA,NA,NA,9,1,NA,NA,NA,153,229,2,2,1,1,5,3,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,4,7,1,1,2,3,1,1,NA,4,NA
1.1.1.118,258,72,681,1534,627,330,363,293,1129,154,156,1302,304,669,1180,157,372,126,179,335,2004,88,171,233,110,200,314,459,83,88,124,368,234,477,284,304,2,157,185,99,203,158,65,130,324,5,17,43,180,57,115,183,254,153,96,423,50,37,23,139,150,664,210,451,NA,53,18,NA,66,NA,70,NA,69,12,6,52,NA,3,47,85,13,34,62,4,13,26,NA,51,7,109,49,14,2,1,32,22,112,47,14,81,35,131,775,1,21,20,52,13,7,87,13,9,22,25,180,255,NA,3,47,12,58,140,NA,3,NA,22,191,15,45,76,102,220,60,2,9,13,6,53,80,24,33,103,157,22,26,49,14,21,13,74,104,2,6,29,1,4,38,26,2,102,917,14,206,193,42,180,13,177,NA,1,148,309,111,NA,NA,NA,NA,2,1,23,719,16,185,142,322,590,317,406,36,91,129,190,264,247,247,NA,221,897,3,2781,450,10,868,549,445,578,384,290,681,858,185,217,177,697,35,13,NA,2,65,672,1,164,NA,318,1958,1647,43,1177,155,1122,2207,NA,5,76,226,70,784,138,912,51,NA,1,20,19,7,118,202,149,25,38,17,3,19,25,532,626,53,67,32,161,172,155,NA,489,612,832,657,82,445,966,101,268,237,171,145,274,74,140,34,153,123,48,257,156,21,4,12,66,152,106,135,87,351,115,52,15,107,107,43
1.1.1.12,363,7,NA,NA,NA,1,72,14,2,1,4,NA,NA,24,29,NA,2,4,1,3,24,22,6,4,2,5,23,3,NA,NA,5,6,NA,2,3,1,NA,11,3,2,2,6,2,NA,7,NA,1,NA,5,NA,16,NA,1,11,5,2,NA,NA,NA,24,32,10,4,18,NA,9,NA,NA,3,NA,24,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,5,1,NA,NA,NA,2,NA,4,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,1,5,NA,NA,4,1,NA,NA,3,NA,1,NA,2,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,1,6,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,25,3,4,NA,NA,NA,27,6,7,NA,30,59,NA,NA,NA,NA,NA,NA,NA,NA,30,2,NA,3,NA,NA,2,4,70,129,32,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,63,NA,NA,NA,NA,NA,NA,2,7,5,NA,2,NA,NA,NA,NA,NA,5,NA,1,1,2,3,NA,NA,13,NA,5,NA,NA,NA,NA,31,60,1,33,NA,2,17,6,1,5,6,2,19,2,8,1,NA,NA,5,1,10,4,2,28,5,NA,16,6,8
1.1.1.125,245,198,82,71,42,120,232,313,486,411,268,273,544,517,438,260,290,191,801,662,724,232,394,459,231,299,302,718,157,471,285,331,273,1158,660,1359,169,220,284,150,447,410,161,233,489,22,41,110,444,141,274,1535,608,336,305,83,126,130,445,544,319,601,379,979,NA,200,NA,NA,63,NA,42,NA,160,32,24,7,NA,NA,29,170,12,82,137,22,73,5,1,68,8,95,54,62,8,5,5,30,82,41,20,132,25,20,NA,2,67,212,106,39,19,35,24,15,10,8,NA,NA,9,24,21,13,83,NA,NA,10,NA,NA,5,9,89,9,22,24,8,6,3,5,12,56,162,107,107,170,306,45,32,63,22,74,14,137,120,2,18,50,19,6,154,92,4,42,52,1,123,572,25,332,4,494,19,13,277,105,275,NA,NA,NA,NA,2,5,24,28,30,269,493,511,687,561,602,9,63,111,1224,634,29,41,3,18,4,NA,1349,47,9,337,305,317,735,439,582,1402,1786,473,640,455,1018,1271,1312,5346,1295,830,455,17,234,NA,2,389,195,26,333,65,417,57,NA,NA,391,1597,320,622,172,1096,131,179,23,42,16,135,196,204,191,16,54,19,7,25,43,496,522,156,129,88,1038,330,826,NA,7403,12790,14142,14250,129,45,47,186,166,87,196,592,544,193,314,290,222,320,138,227,318,115,22,37,211,375,258,250,259,67,264,46,387,390,259,267
1.1.1.126,258,8,NA,4,NA,18,8,23,38,22,20,44,19,165,29,14,35,14,4,75,91,22,28,65,14,19,16,48,16,15,32,46,45,74,39,71,NA,13,30,5,8,28,13,33,50,7,27,209,50,8,4,53,26,24,15,7,14,13,13,56,27,53,21,70,NA,5,NA,NA,8,NA,6,NA,8,7,3,1,NA,NA,1,25,2,7,26,2,9,1,1,4,2,17,2,8,3,3,2,4,NA,NA,3,6,2,NA,NA,NA,2,NA,3,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,3,2,19,NA,NA,NA,NA,5,NA,1,4,2,NA,NA,NA,1,NA,NA,NA,4,23,6,4,7,5,2,5,13,6,6,1,11,9,NA,2,5,NA,NA,2,3,NA,NA,NA,NA,8,18,NA,1,2,44,NA,NA,15,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,53,9,34,28,293,1,2,NA,1,1,120,NA,NA,NA,NA,NA,1,NA,105,NA,1,13,5,17,57,38,NA,NA,NA,1,1,24,52,NA,NA,NA,NA,NA,48,NA,1,NA,NA,1,NA,NA,NA,NA,51,1,NA,NA,40,3,6,154,15,50,NA,NA,NA,4,3,NA,13,14,20,4,5,3,1,2,3,55,49,18,22,10,18,15,27,NA,133,NA,16,1,233,NA,4,3,5,14,10,4,65,19,25,21,17,20,13,14,6,2,6,25,380,41,16,20,12,7,21,6,9,46,38,4
1.1.1.127,264,21,NA,5,NA,7,24,38,14,10,14,12,72,38,31,9,181,21,3,19,107,23,46,31,7,7,22,81,23,26,7,17,13,25,44,73,1,13,9,26,8,31,18,22,21,NA,4,NA,27,16,15,26,15,21,47,5,28,60,5,55,11,51,21,63,NA,NA,NA,NA,6,NA,6,NA,13,3,NA,NA,NA,NA,2,5,NA,10,9,1,7,NA,1,7,2,4,4,4,1,NA,2,5,3,1,5,4,1,NA,NA,NA,5,NA,1,3,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,3,5,3,2,NA,NA,1,NA,NA,1,3,6,5,4,8,6,4,3,NA,2,8,NA,4,NA,NA,2,20,2,NA,3,5,NA,NA,NA,NA,62,488,7,NA,2,57,NA,NA,25,NA,2,NA,NA,NA,NA,NA,1,NA,9,4,2,6,14,14,NA,NA,NA,50,4,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,8,5,15,22,52,NA,NA,NA,NA,NA,NA,76,151,141,26,148,92,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,12,1,72,14,62,10,3,NA,1,2,4,18,20,18,4,5,7,NA,4,4,54,33,37,62,54,21,23,33,NA,213,2,29,6,5,NA,5,16,22,4,10,1,16,14,40,6,5,31,17,17,4,1,NA,4,NA,26,22,20,38,4,9,2,5,41,21,10
