Pathway,Pearson Coefficient,EC Pair
WL,-0.21040823406110226,1.2.7.4 - 1.5.1.20
WL,0.14754342714530586,1.2.7.4 - 1.5.1.5
WL,0.83337119572545,1.2.7.4 - 2.1.1.258
WL,0.28816035224284725,1.2.7.4 - 6.3.4.3
WL,0.033806030988059704,1.5.1.20 - 1.5.1.5
WL,-0.13682833261384808,1.5.1.20 - 2.1.1.258
WL,-0.10846242164517986,1.5.1.20 - 6.3.4.3
WL,0.16618593178007066,1.5.1.5 - 2.1.1.258
WL,0.3895634265100463,1.5.1.5 - 6.3.4.3
WL,0.23070479729065385,2.1.1.258 - 6.3.4.3
CBB,0.15626596235600157,1.2.1.12 - 1.2.1.13
CBB,-0.13489341531052637,1.2.1.12 - 1.2.1.59
CBB,0.1113809640875041,1.2.1.12 - 2.2.1.1
CBB,0.027475470083726514,1.2.1.12 - 2.7.1.19
CBB,0.28053334225693244,1.2.1.12 - 2.7.2.3
CBB,0.11209268681693911,1.2.1.12 - 3.1.3.11
CBB,-0.4872704971317367,1.2.1.12 - 3.1.3.37
CBB,0.23365943192302188,1.2.1.12 - 4.1.1.39
CBB,-0.07159186179514322,1.2.1.12 - 4.1.2.13
CBB,-0.032948025906675456,1.2.1.12 - 5.1.3.1
CBB,-0.12658764828323574,1.2.1.12 - 5.3.1.6
CBB,-0.24867572784661923,1.2.1.13 - 1.2.1.59
CBB,0.18511677165614462,1.2.1.13 - 2.2.1.1
CBB,0.30474827408157745,1.2.1.13 - 2.7.1.19
CBB,0.1954583290220636,1.2.1.13 - 2.7.2.3
CBB,0.049196768024798845,1.2.1.13 - 3.1.3.11
CBB,0.07937909101068619,1.2.1.13 - 3.1.3.37
CBB,0.14471584705608606,1.2.1.13 - 4.1.1.39
CBB,0.029400474970382243,1.2.1.13 - 4.1.2.13
CBB,0.3664191059353687,1.2.1.13 - 5.1.3.1
CBB,-0.0981279420789932,1.2.1.13 - 5.3.1.6
CBB,-0.5693257900809285,1.2.1.59 - 2.2.1.1
CBB,-0.25793382769120693,1.2.1.59 - 2.7.1.19
CBB,-0.6045029686853014,1.2.1.59 - 2.7.2.3
CBB,-0.5305483335084931,1.2.1.59 - 3.1.3.11
CBB,0.103208427342865,1.2.1.59 - 3.1.3.37
CBB,-0.2842411507794185,1.2.1.59 - 4.1.1.39
